0	15618	31
1	11911	47
2	10923	65
3	10355	83
4	9683	97
5	9688	117
6	9351	132
7	9334	151
8	9053	165
9	8878	181
10	8843	198
11	8676	213
12	10229	273
13	10202	293
14	9777	302
15	9414	311
16	9049	318
17	8655	323
18	8562	338
19	8548	356
20	8595	376
21	8579	394
22	8550	412
23	8333	420
24	8228	433
25	7998	438
26	7790	444
27	7593	450
28	7404	455
29	7261	463
30	7135	471
31	7027	480
32	6888	486
33	6772	494
34	6903	519
35	6852	531
36	6719	536
37	6708	551
38	6616	559
39	6556	570
40	6474	578
41	6462	592
42	6384	600
43	6305	608
44	6255	618
45	6228	631
46	6143	637
47	6042	641
48	5969	648
49	6009	667
50	6021	683
51	6035	700
52	6077	720
53	6013	728
54	5950	735
55	5880	741
56	5835	750
57	5769	757
58	5710	763
59	5649	770
60	5589	776
61	5560	787
62	5512	794
63	5470	803
64	5414	809
65	5362	815
66	5317	822
67	5277	830
68	5214	834
69	5165	840
70	5116	846
71	5055	850
72	5008	856
73	4981	865
74	4939	871
75	4897	877
76	4853	883
77	4811	889
78	4770	895
79	4738	902
80	4712	910
81	4677	917
82	4634	922
83	4598	928
84	4560	934
85	4523	939
86	4507	949
87	4465	953
88	4433	959
89	4398	965
90	4359	969
91	4328	976
92	4310	985
93	4298	995
94	4308	1010
95	4332	1029
96	4329	1042
97	4342	1058
98	4352	1074
99	4360	1090
100	4378	1108
101	4380	1122
102	4389	1138
103	4400	1155
104	4430	1177
105	4490	1208
106	4544	1237
107	4572	1259
108	4583	1277
109	4587	1293
110	4595	1311
111	4598	1327
112	4605	1344
113	4608	1361
114	4604	1375
115	4613	1393
116	4616	1410
117	4627	1429
118	4625	1444
119	4619	1458
120	4625	1476
121	4619	1491
122	4619	1506
123	4615	1522
124	4600	1533
125	4609	1552
126	4608	1569
127	4615	1588
128	4613	1604
129	4603	1617
130	4604	1634
131	4599	1649
132	4612	1671
133	4611	1688
134	4624	1710
135	4635	1731
136	4649	1754
137	4670	1780
138	4672	1798
139	4668	1815
140	4668	1833
141	4665	1850
142	4666	1869
143	4667	1888
144	4740	1936
145	4739	1954
146	4732	1970
147	4734	1990
148	4720	2003
149	4710	2018
150	4706	2036
151	4699	2052
152	4697	2071
153	4700	2091
154	4700	2111
155	4687	2125
156	4679	2142
157	4672	2158
158	4680	2182
159	4649	2188
160	4623	2195
161	4593	2201
162	4561	2206
163	4532	2212
164	4499	2216
165	4481	2227
166	4452	2232
167	4446	2249
168	4442	2268
169	4438	2286
170	4433	2304
171	4410	2312
172	4380	2317
173	4348	2321
174	4320	2326
175	4292	2331
176	4261	2335
177	4243	2345
178	4213	2349
179	4188	2356
180	4163	2362
181	4137	2368
182	4112	2374
183	4098	2386
184	4074	2392
185	4047	2397
186	4018	2401
187	3994	2406
188	3965	2410
189	3941	2416
190	3925	2426
191	3901	2432
192	3878	2438
193	3853	2443
194	3830	2449
195	3807	2455
196	3792	2465
197	3767	2469
198	3741	2473
