iter	Logloss
155	0.6231371502
156	0.6229729777
157	0.6226676577
158	0.6226676532
159	0.6226407254
160	0.6221923907
161	0.6220698558
162	0.6220698524
163	0.6218416724
164	0.6216936538
165	0.620869819
166	0.6203080868
167	0.6203080843
168	0.6201117912
169	0.6201117888
170	0.6197302566
171	0.618977881
172	0.6189778797
173	0.6189202495
174	0.6188801985
175	0.6188801975
176	0.6184716881
177	0.6183719533
178	0.6182200405
179	0.6181997203
180	0.6181997199
181	0.6178721942
182	0.6176880665
183	0.6171622465
184	0.6169080686
185	0.6166943504
186	0.6160521466
187	0.6160521465
188	0.6153497422
189	0.6147553128
190	0.6147553126
191	0.6144801653
192	0.6141961613
193	0.6140956505
194	0.6140170314
195	0.6137706875
196	0.613381983
197	0.6127064822
198	0.6121405244
199	0.6119664019
200	0.6117943395
201	0.6115664153
202	0.6111400052
203	0.6109036749
204	0.6107317914
205	0.6107317912
206	0.6105565509
207	0.6103509291
208	0.6097736299
209	0.6097601121
210	0.6091502009
211	0.6081458917
212	0.6077444529
213	0.6073669068
214	0.6073370438
215	0.6073366664
216	0.607035619
217	0.606355465
218	0.6061913927
219	0.6060232134
220	0.6058553384
221	0.6058048663
222	0.6055478964
223	0.6051205629
224	0.6048439868
225	0.6048439868
226	0.6048439867
227	0.6045341392
228	0.6045341392
229	0.6044876573
230	0.604127375
231	0.6041010843
232	0.6036182367
233	0.6034423647
234	0.6032491132
235	0.602626195
236	0.602100163
237	0.6016201773
238	0.6012039794
239	0.6008054358
240	0.6008054356
241	0.6008054355
242	0.6008054353
243	0.6008054351
244	0.600805435
245	0.6006125921
246	0.6001688192
247	0.5994416588
248	0.5992767827
249	0.5989412962
250	0.5985678745
251	0.5985678743
252	0.5983765033
253	0.5977036942
254	0.597563341
255	0.597563341
256	0.5972302082
257	0.5972302082
258	0.5972301606
259	0.5972301606
260	0.5969931932
261	0.596415229
262	0.5957945481
263	0.5949523354
264	0.5947852704
265	0.5947852704
266	0.5947852704
267	0.5944757011
268	0.5938723384
269	0.5934537899
270	0.59293106
271	0.592578253
272	0.5921206884
273	0.591542634
274	0.5911892643
275	0.590820052
276	0.5905307692
277	0.5901342351
278	0.5895875995
279	0.5891273669
280	0.5886583245
281	0.5886463837
282	0.5876118618
283	0.5876118604
284	0.5872199878
285	0.586789808
286	0.5860596704
287	0.5854929776
288	0.5854929776
289	0.584060284
290	0.5838022731
291	0.5834475871
292	0.5831109591
293	0.5831109591
294	0.5824319529
295	0.5824319527
296	0.5824319526
297	0.58218483
298	0.5819497798
299	0.5809890413
300	0.5809890413
301	0.58035292
302	0.5800132437
303	0.5795347587
304	0.5792241287
305	0.578859792
306	0.5788597917
307	0.5788597914
308	0.5782319996
309	0.5778804493
310	0.5774306815
311	0.5774306814
312	0.5768063567
313	0.5757128257
314	0.5751983492
315	0.5751983488
316	0.5746275633
317	0.5741289302
318	0.573808198
319	0.5731968678
320	0.5726124424
321	0.5722958827
322	0.5717625841
323	0.5710623434
324	0.57051933
325	0.5699412393
326	0.5694808358
327	0.5689222909
328	0.5685514019
329	0.5685514019
330	0.568224103
331	0.5676840854
332	0.5673576493
333	0.5670355505
334	0.56637341
335	0.5660447947
336	0.565920814
337	0.565559334
338	0.5655591399
339	0.5655591086
340	0.5655591082
341	0.5650908493
342	0.5644972338
343	0.5638103569
344	0.5638103569
345	0.5632229275
346	0.5628960799
347	0.5625655972
348	0.5622590787
349	0.5614680486
350	0.5610066773
351	0.5601800832
352	0.5595136206
353	0.5595136178
354	0.5595136153
355	0.5590450644
356	0.5590450624
357	0.5588460732
358	0.5580324103
359	0.5573557678
360	0.5569593704
361	0.5565551606
362	0.5562588876
363	0.5556848159
364	0.5554988381
365	0.5551490934
366	0.5544546223
367	0.5539111785
368	0.5536595189
369	0.5528623495
370	0.5524554843
371	0.5517985832
372	0.5514190947
373	0.5507073258
374	0.5507073249
375	0.5500755969
376	0.5500755958
377	0.5497152782
378	0.5495198835
379	0.549008196
380	0.5483867417
381	0.5483867411
382	0.5483867405
383	0.547899789
384	0.5476509605
385	0.5475269975
386	0.5472514514
387	0.5468173791
388	0.5463803195
389	0.5463803189
390	0.5456867045
391	0.5453854536
392	0.5453854534
393	0.5447901341
394	0.5443527114
395	0.5439361566
396	0.5434389227
397	0.5430900904
398	0.5426588693
399	0.5422077299
400	0.5418483479
401	0.5413055569
402	0.5407653703
403	0.5402051287
404	0.5398859501
405	0.53988595
406	0.5395692325
407	0.5390504979
408	0.538826225
409	0.5386141623
410	0.5381755791
411	0.5378235543
412	0.5373707541
413	0.5371837551
414	0.5369619136
415	0.5364207057
416	0.5358921708
417	0.535379331
418	0.5351203536
419	0.5346871247
420	0.5344502211
421	0.5341917183
422	0.5340800191
423	0.5336014267
424	0.5332988669
425	0.5326874394
426	0.5324550128
427	0.5321594655
428	0.5314991068
429	0.5310288676
430	0.5306519207
431	0.5302818177
432	0.5298217831
433	0.5294743403
434	0.5289151496
435	0.5282635678
436	0.5277348502
437	0.527384597
438	0.5270287097
439	0.5268522686
440	0.5266949109
441	0.5263354337
442	0.526101937
443	0.5258370339
444	0.5250334655
445	0.5246005619
446	0.5242420731
447	0.5235684267
448	0.5233600329
449	0.5227193806
450	0.5225845779
451	0.5221535719
452	0.5218217448
453	0.5212506718
454	0.5210056708
455	0.5207118669
456	0.5207118669
457	0.5204791979
458	0.5199666389
459	0.5197007127
460	0.5195438577
461	0.5190733328
462	0.5185039275
463	0.5181548285
464	0.5175848533
465	0.5171925172
466	0.5165583447
467	0.5161720667
468	0.5158351942
469	0.5155723207
470	0.5152060746
471	0.5148263286
472	0.5144750268
473	0.5142175204
474	0.5139686438
475	0.5136848914
476	0.5133135083
477	0.5132439434
478	0.5129494224
479	0.5128145503
480	0.5122610296
481	0.5116391267
482	0.5112148462
483	0.5108985741
484	0.5107885888
485	0.5104089142
486	0.5102311714
487	0.5097877819
488	0.5091517072
489	0.5087679701
490	0.5086019487
491	0.5081380794
492	0.5077819018
493	0.5076547778
494	0.5072539167
495	0.5067730045
496	0.5063915691
497	0.5059562971
498	0.5053688911
499	0.5050184285
